role,question,answer,confidence,grammar,technical
Backend Engineer,"Tell me about a challenging API performance issue.","Our checkout API had high p95 latency during peak traffic. I profiled slow queries, added indexes, and introduced a cache with clear TTL rules. Latency dropped by 40% and timeout incidents decreased by 55%.",86,82,90
Backend Engineer,"How do you ensure service reliability?","I set SLOs, added dashboards and alerts, and wrote runbooks for on-call engineers. We also used canary deployments and postmortems to reduce repeat incidents.",81,80,84
Frontend Developer,"Describe how you improved page performance.","I measured bundle size and render timings, split large routes, and deferred non-critical assets. Largest contentful paint improved from 3.8s to 2.1s.",84,83,82
Data Engineer,"How did you handle data quality problems?","We added schema validation in the ingestion pipeline and created anomaly checks for critical fields. That reduced bad records reaching analytics by about 70%.",82,81,87
DevOps Engineer,"Explain a CI/CD improvement you made.","I replaced manual release steps with a pipeline that runs tests, security scanning, and blue-green deployment. Deployment time went from 45 minutes to 12 minutes.",85,84,88
Software Engineer,"Tell me about a time you resolved a production incident.","During a spike in errors I traced the issue to a failing third-party dependency. I added retries with backoff and a circuit breaker, then stabilized the service within an hour.",80,79,85
Software Engineer,"What is your approach to code reviews?","I focus on correctness, readability, and long-term maintainability. I also check test coverage and suggest small refactors when complexity is too high.",75,82,74
Machine Learning Engineer,"How did you improve model performance?","I improved feature engineering, tuned hyperparameters, and introduced cross-validation. Model F1 increased from 0.72 to 0.81 and false positives dropped.",83,81,89
Backend Engineer,"How do you design scalable systems?","I define service boundaries, select the right storage model, and plan for caching and asynchronous processing. I validate trade-offs using expected load and failure scenarios.",79,80,86
Software Engineer,"Describe a difficult bug you fixed.","i found a race condition in a background worker and fixed it with proper locking and idempotent jobs also added tests",58,52,73
Software Engineer,"How do you communicate with non-technical stakeholders?","I map technical choices to user impact, present options with risks, and share timelines with clear milestones.",78,84,70
Backend Engineer,"How do you optimize database queries?","I use execution plans, remove N+1 queries, and add selective indexes based on cardinality. We reduced average query time by 32% after tuning.",84,83,89
Frontend Developer,"How do you improve accessibility?","I audit keyboard navigation and ARIA usage, improve contrast, and test screen-reader flows. That reduced accessibility issues in QA by over 60%.",80,85,76
Data Analyst,"How do you explain analysis results?","I summarize the objective, method, and assumptions in plain language, then show the key metric shifts and recommended actions.",77,86,68
Security Engineer,"How do you manage security in development?","I integrate static analysis, dependency scanning, and secrets checks into CI. We blocked vulnerable packages before they reached production.",82,81,86
Software Engineer,"Tell me about teamwork in a project.","we worked together and finished features fast and it was good",55,60,50
Product Engineer,"How do you prioritize technical debt?","I score debt by user impact, risk, and effort, then align cleanup work with roadmap milestones to avoid delivery delays.",78,82,73
Backend Engineer,"How do you test APIs?","I write unit and integration tests, validate contract compatibility, and add load tests for critical endpoints. This caught regressions before release.",81,83,85
Software Engineer,"What would you improve in your last project?","I would add clearer service ownership boundaries and earlier performance testing. That would reduce handoff delays and late-stage fixes.",74,79,72
Cloud Engineer,"How did you reduce infrastructure cost?","I right-sized instances, moved burst workloads to spot capacity, and improved autoscaling rules. Monthly cloud cost dropped by 23% with stable reliability.",84,82,87
